pas,valeur
170,796.79185
170,788.855084
170,780.606453
170,706.847517
170,702.860839
170,699.011274
170,697.042722
170,695.043391
170,680.106654
170,609.364492
170,609.562765
170,598.548825
170,654.105159
170,654.378799
170,586.926345
170,591.59772
170,578.410705
170,578.17264
170,570.947952
170,564.741007
170,502.37172
170,545.181262
170,479.670242
170,484.845501
170,524.676608
170,483.205262
170,517.497868
170,474.851413
170,467.008535
170,468.098848
170,490.371106
170,495.587411
170,491.957784
170,485.023253
170,450.981227
170,467.50728
170,470.283759
170,469.705137
170,458.522815
170,439.381363
170,425.808329
170,416.743036
170,403.912291
170,409.228679
170,407.326929
170,392.382737
170,391.470602
170,391.59585
170,385.179934
170,381.4529
170,376.177349
170,378.732553
170,377.401628
170,369.60393
170,367.700043
170,330.388819
170,354.80161
170,356.30426
170,328.723143
170,407.275585
170,361.808558
170,364.399379
170,340.907524
170,366.022449
170,319.345198
170,380.174843
170,331.009742
170,323.860105
170,380.821234
170,407.324525
170,335.06182
170,314.562941
170,373.869132
170,348.857636
170,365.659693
170,368.809647
170,401.864898
170,247.070871
175,968.973824
175,955.026247
175,961.891323
175,969.551886
175,961.226097
175,967.511298
175,966.06262
175,961.518988
175,965.154191
175,955.952072
175,955.785617
175,962.936844
175,945.582458
175,818.828185
175,811.768801
175,809.353278
175,801.914604
175,794.180307
175,719.457033
175,715.716151
175,712.119743
175,710.280677
175,708.412762
175,694.449443
175,622.519898
175,622.689779
175,611.736899
175,669.49421
175,669.758646
175,600.288685
175,605.329999
175,592.612427
175,592.359008
175,585.037879
175,578.735791
175,514.503247
175,559.921888
175,491.402672
175,497.56497
175,540.433641
175,495.797347
175,533.142737
175,488.146394
175,480.330273
175,481.514012
175,506.550669
175,511.969752
175,508.568737
175,501.858791
175,464.112431
175,484.719584
175,488.026889
175,487.342459
175,475.845343
175,453.607687
175,439.113058
175,430.256931
175,415.327458
175,422.871044
175,420.216938
175,405.908833
175,404.139823
175,409.758168
175,400.27539
175,395.050645
175,390.322847
175,392.785022
175,388.723969
175,382.465986
175,380.09945
175,349.282132
175,368.043092
175,369.791237
175,346.927545
175,415.493171
175,374.678319
175,376.720875
175,353.686113
175,375.949526
175,334.85401
175,387.411866
175,344.565349
175,337.426902
175,386.689312
175,410.487719
175,346.125258
175,327.233178
175,379.417241
175,356.66637
175,370.17013
175,371.848165
175,397.401556
175,337.225579
175,247.709385
175,243.327111
175,335.426091
175,289.394083
175,244.560225
180,955.377227
180,963.971382
180,968.321338
180,946.937956
180,960.632624
180,961.891812
180,967.938261
180,945.131109
180,950.318294
180,947.364999
180,944.322575
180,949.053923
180,948.796663
180,829.990586
180,823.381921
180,821.120075
180,814.152894
180,806.905973
180,731.328816
180,727.822243
180,724.467102
180,722.751491
180,721.008911
180,707.975223
180,634.988096
180,635.130893
180,624.24645
180,684.031348
180,684.286823
180,612.975104
180,618.362619
180,606.104649
180,605.836915
180,598.432195
180,592.046644
180,526.109263
180,573.96553
180,502.653537
180,509.755067
180,555.473134
180,507.867528
180,548.085405
180,500.901315
180,493.121858
180,494.393686
180,522.045371
180,527.65012
180,524.47365
180,517.990171
180,476.74423
180,501.242751
180,505.053989
180,504.269181
180,492.490945
180,467.311021
180,451.950904
180,443.311655
180,426.375136
180,436.062876
180,432.685029
180,419.01878
180,416.421546
180,427.358362
180,414.920062
180,408.250888
180,404.065138
180,406.43179
180,399.723714
180,394.975115
180,392.162602
180,367.768976
180,380.951312
180,382.935389
180,364.74668
180,423.455412
180,387.210398
180,388.714625
180,366.173012
180,385.613465
180,350.065496
180,394.444945
180,357.835338
180,350.726162
180,392.404704
180,413.753414
180,356.988305
180,339.786487
180,385.130784
180,364.8057
180,376.726989
180,377.686059
180,399.722817
180,344.980622
180,361.746459
180,342.171614
180,331.157112
180,384.556613
180,298.335181
180,333.728214
180,293.508204
180,295.960406
180,150.139731
185,1006.437516
185,967.92501
185,970.044401
185,968.252361
185,991.122919
185,985.714291
185,982.822071
185,984.669124
185,961.48432
185,957.5957
185,968.177282
185,935.342899
185,941.065246
185,840.43552
185,834.252331
185,832.13564
185,825.614062
185,818.828185
185,742.497711
185,739.214062
185,736.088408
185,734.490268
185,732.866976
185,720.719154
185,646.793633
185,646.910648
185,636.100662
185,697.749863
185,697.996643
185,625.007393
185,630.718301
185,618.908525
185,618.627468
185,611.150886
185,604.692585
185,537.199519
185,587.328309
185,513.429524
185,521.422745
185,569.807424
185,519.422575
185,562.336907
185,513.121136
185,505.386901
185,506.74158
185,536.860458
185,542.634654
185,539.67766
185,533.420755
185,488.877683
185,517.075566
185,521.363664
185,520.483937
185,508.456034
185,480.488765
185,464.318161
185,455.901404
185,437.051017
185,448.796633
185,444.724802
185,431.70187
185,428.306862
185,444.372007
185,429.097462
185,421.040448
185,417.388355
185,419.657835
185,410.392427
185,407.117651
