# Statistiques résumées des distributions par grandeur et par pas
pas,nom,n,moyenne,ecart_type,min,q10,q25,median,q75,q90,q99,max
185,taux_interne,104,0.022,0.0035,0.0158,0.0162,0.0195,0.0222,0.025,0.0259,0.0271,0.0283
185,levier_entite,104,0.8725,0.1731,0.3075,0.4996,0.9329,0.9344,0.9354,0.9408,0.952,0.9594
190,passif_total,108,565.1991,206.2441,119.8289,385.5966,410.434,497.5803,657.985,977.7518,1007.3233,1012.2365
190,actif_liquide,108,43.509,17.5659,8.3939,29.5428,31.9304,38.0495,49.3861,63.3087,102.6481,104.3094
190,actif_total,108,782.9431,702.0157,123.2228,410.3677,436.3975,531.6634,703.6341,1784.0393,3285.971,3487.0492
190,ratio_L_P,108,0.0771,0.0103,0.0345,0.0689,0.0755,0.0786,0.0814,0.0838,0.1015,0.1036
190,taux_interne,108,0.0221,0.0044,0.0157,0.016,0.0195,0.0224,0.0247,0.0255,0.0403,0.0457
190,levier_entite,108,0.8751,0.1749,0.2857,0.5657,0.9336,0.9348,0.9361,0.9431,0.9717,0.9773
195,passif_total,109,582.5087,202.279,373.1216,397.4238,423.0088,505.2738,668.5185,990.7966,1038.2126,1044.7649
195,actif_liquide,109,46.5732,22.0682,14.2865,29.9324,32.3904,40.0484,50.4044,64.7703,123.6663,124.4094
