steps,entities_total,alive_final,failures_total,mean_extraction_all,late_credit_tx,late_active_loans,late_loans_per_alive,late_financial_density,late_failures_per_step,late_alive_mean,late_credit_slope,late_loans_slope,late_failures_slope,late_alive_slope,hidden_fragility_total_final,hidden_fragility_ratio_final,mean_lifetime_failed,median_lifetime_failed,watched_count,rmst_full,survival_full,rmst_initial,survival_initial,rmst_born_later,survival_born_later,n_initial,n_born_later,late_cascades,late_secondary_share,late_secondary_per_fragile,late_mean_cascade_size,late_max_cascade_size,seed,theta,lambda_creation,n_candidats_pool,alpha_sigma_brownien,taux_amortissement,beta_late,hazard_late,n_star_pred,n_star_gap,loan_exit_late,hidden_fragility_ratio_geometric_pred,hidden_fragility_ratio_gap
400,884,432,452,6766.6758955000005,48.45,2985.67,6.527474275736457,0.34914858068660876,2.11,458.095,-0.023357083927098173,2.17563189079727,0.002775069376734418,-0.23106652666316657,67887.27841381516,0.8681660845373003,164.18141592920355,147,131,232.69024177753124,0.23521714132463284,328.5148514851484,0.4752475247524749,214.40386960347863,0.17878682056483183,101,783,178,0.22748815165876776,0.294478527607362,2.3707865168539324,6,38,0.35,2,4,0.005,0,0.10576408823497309,0.004606031500016371,434.2132701421802,-2.2132701421801926,0.01620291153472839,0.8585918922013149,0.009574192335985332
400,916,473,443,6871.865673,49.33,3313.12,6.724607971954072,0.34887393113715603,2.06,492.11,0.06423610590264757,8.853443336083402,0.006492162304057601,0.03540088502212555,79142.37170497548,0.8827963099133783,162.88713318284425,143,126,235.81746754002137,0.2525065169186406,322.0,0.5000000000000002,218.5805381297994,0.18805161016060043,102,814,171,0.27427184466019416,0.3779264214046823,2.409356725146199,7,39,0.35,2,4,0.005,0,0.10024181585417893,0.004186055963097682,477.7766990291262,-4.776699029126178,0.014906715197711392,0.8685660801214247,0.014230229791953652
400,937,465,472,6701.48621825,51.58,3320.96,7.073842848670633,0.34588033299299875,2.005,468.72,0.08571964299107478,6.514707867696693,0.00582689567239181,0.07175129378234456,77735.5983503195,0.8588383029858832,153.07838983050848,138,121,226.81997678853628,0.25335687295079884,303.16831683168306,0.465346534653465,213.01127163480527,0.2036048706682549,101,836,164,0.2892768079800499,0.4070175438596491,2.4451219512195124,7,40,0.35,2,4,0.005,0,0.11004437617340843,0.0042776071001877445,467.5511221945138,-2.551122194513823,0.015556519776812506,0.8635403389716033,-0.0047020359857201655
400,909,428,481,6095.46861425,49.385,3137.555,7.624894855051968,0.3584112118907656,1.875,411.065,0.0405137628440711,4.369560489012225,0.0014662866571664292,0.11096152403810096,79597.74607488944,0.8660874563066088,136.03742203742203,112,124,212.4482381348845,0.2476582052372033,297.5148514851484,0.44554455445544516,197.91573765655764,0.22616151365880632,101,808,173,0.272,0.37362637362637363,2.167630057803468,6,31,0.35,2,5,0.005,0,0.12013915074258329,0.0045613224185956,438.4693333333333,-10.469333333333282,0.015756171465496814,0.8620065250210278,0.004080931285580958
400,900,385,515,5968.671727999999,53.825,3509.35,8.941165381603978,0.35669989705758154,2.045,392.32,0.03898972474311858,5.238682967074177,0.0014347858696467412,0.010995274881872047,65431.69896780841,0.8379112343267499,133.62135922330097,111,124,200.49397887188505,0.21450347968145947,290.67326732673246,0.4257425742574253,184.9737339938904,0.1593956662310865,101,799,173,0.3691931540342298,0.5852713178294574,2.3641618497109826,6,32,0.35,2,5,0.005,0,0.137196676182708,0.005212581566068516,383.68704156479214,1.312958435207861,0.015344384129722466,0.8651753672924902,-0.027264132965740373
400,928,372,556,5679.996329250001,57.01,3800.815,10.047703661068788,0.37755043276047945,2.185,379.895,-0.003463586589664741,4.417638190954774,0.00042976074401860037,-0.1926625665641641,64786.833046765496,0.824770783575612,125.73021582733813,103,125,185.64777139477934,0.18230205759382512,292.0686274509805,0.4117647058823531,167.61596067606888,0.13620942182619314,102,826,177,0.35469107551487417,0.549645390070922,2.468926553672316,7,33,0.35,2,5,0.005,0,0.15006778188710038,0.0057515892549257035,347.7299771167048,24.270022883295212,0.014935530241457924,0.8683421198411672,-0.043571336265555205
400,912,402,510,5862.14631475,55.62,3302.38,8.372926852989073,0.36254073350918964,1.96,393.44,0.031665791644791115,7.204806120153004,0.0021315532888322207,0.1440306007650191,76532.08239754265,0.8521477108391355,132.5,108,126,200.72403367886344,0.21171354738148715,282.96153846153845,0.3653846153846154,186.91237196529812,0.1802233731310038,104,808,171,0.29591836734693877,0.42028985507246375,2.2923976608187133,7,34,0.35,2,5,0.005,0,0.14136844245628305,0.004981699877999186,401.46938775510205,0.5306122448979522,0.01688399348739271,0.8534319509904993,-0.001284240151363747
400,925,376,549,6232.56226025,56.82,3335.395,8.162802994220977,0.36169835329533173,2.23,409.975,0.008814220355508886,7.154044101102528,0.0034770869271731793,-0.16837095927398185,59609.145254954135,0.8359274369104119,140.1657559198543,114,128,201.49528098235078,0.18601956393006797,290.1287128712871,0.3564356435643561,187.39995631430014,0.15945167274846997,101,824,177,0.2757847533632287,0.38080495356037153,2.519774011299435,6,35,0.35,2,5,0.005,0,0.13859381669614002,0.005439356058296237,367.6905829596413,8.30941704035871,0.01697870410375705,0.8527187602675026,-0.01679132335709066
400,934,434,500,6332.63512075,53.695,3326.26,7.938419039020053,0.35601857420321115,2.055,417.905,0.06886747168679218,8.226450161254032,0.0013327833195829896,0.13682817070426762,77388.4065395021,0.8501103716915612,142.74,119,130,211.40147785600328,0.2194891429971009,297.81730769230785,0.375,196.809593444326,0.2028580409598637,104,830,167,0.2871046228710462,0.40273037542662116,2.461077844311377,6,36,0.35,2,5,0.005,0,0.1284861391943145,0.004917385530204234,406.7201946472019,27.27980535279812,0.01618535612226579,0.8587256236124009,-0.008615251920839673
400,902,381,521,6060.86670175,56.68,3650.545,8.965725951179518,0.36654728322470775,2.135,407.665,0.054365859146478665,7.134926123153079,0.0031523288082202054,-0.09831920798019951,67447.60153394534,0.8379618701404412,137.43186180422265,114,127,202.4210823063633,0.2074318046218851,296.55339805825247,0.39805825242718457,186.50490823124184,0.17643502062781688,103,799,174,0.38173302107728335,0.6174242424242424,2.454022988505747,7,37,0.35,2,5,0.005,0,0.13903572786479093,0.0052371432426134195,381.8875878220141,-0.8875878220140976,0.015507470183883949,0.8639179001193026,-0.025956029978861372
400,923,396,527,6323.05024925,55.93,3340.72,8.083700786652292,0.3546086139190674,2.105,413.9,0.045344633615840395,5.88867171679292,0.0016627915697892447,-0.0938273456836421,67314.23463822971,0.8379903552919888,139.15370018975332,115,121,208.4794174922861,0.22461337667123416,289.6138613861386,0.38613861386138565,195.73240394548716,0.18852111574619265,101,822,177,0.28028503562945367,0.38943894389438943,2.378531073446328,6,38,0.35,2,5,0.005,0,0.13512925827494565,0.005085769509543368,393.2541567695962,2.745843230403807,0.016716261752051664,0.8546975991689271,-0.016707243876938227
400,910,430,480,5976.2686985,54.555,3365.85,8.315997456368581,0.3516187447870904,1.975,403.9,0.04265431635790895,6.971437785944649,2.775069376734417e-05,0.1426580664516613,75768.24264991845,0.8400942046037322,134.32708333333332,117,129,209.48610293059556,0.24292394934901593,302.59803921568624,0.45098039215686264,193.40572445479668,0.21270201785741086,102,808,176,0.29873417721518986,0.4259927797833935,2.2443181818181817,5,39,0.35,2,5,0.005,0,0.13507056202030207,0.004889824213914336,409.012658227848,20.98734177215198,0.016242256293243804,0.8582923105626461,-0.018198105958913913
400,928,401,527,5864.100186250001,54.01,3499.2,8.869244730050893,0.35266369406702586,1.945,393.57,0.07512487812195306,4.135084377109428,0.0012592814820370508,0.18417160429010726,74004.965620264,0.8374035521592101,122.6774193548387,100,121,196.87302259089233,0.22765602948557523,284.17821782178214,0.4257425742574253,182.81321557816997,0.18600033586251483,101,827,168,0.31362467866323906,0.45692883895131087,2.3154761904761907,8,40,0.35,2,5,0.005,0,0.13723098813425819,0.004941941713037071,404.69922879177375,-3.6992287917737485,0.015472680291399596,0.8641858740367686,-0.026782321877558468
